Identifier (RIC),Company Name,Country of Headquarters,"Company Market Cap
(EUR)","Total Assets
(FY-1, EUR)","Retained Earnings
(FY-1, EUR)","Earnings before Interest & Taxes (EBIT)
(FY-1, EUR)","Total Liabilities
(FY-1, EUR)","Revenue from Business Activities - Total
(FY-1, EUR)","Working Capital
(FY-1, EUR)",Organization Status Code,TRBC Economic Sector Name,Delisted Quote Flag,Issuer Rating,Credit Combined PD (%),Region
LKPC.ZA,Luka Ploce dd,Croatia,74350787.5,104524547,6815198,8901712,21837207,99654271,40096704,Act,Industrials,FALSE,,0,South
EVOK.L,Evoke PLC,Gibraltar,245052201.1,3190624009,-268151144.8,96916276.74,3369230314,2120194608,-317938558.7,Act,Consumer Cyclicals,FALSE,B3,0.01,South
CLFF.MI,Caleffi SpA,Italy,12081282.35,60972000,1678000,2769000,35316000,57503000,24195000,Act,Consumer Cyclicals,FALSE,,0,South
E5T.MI,Eurotech SpA,Italy,76465195.9,111367000,-36155000,-8154000,50703000,59133000,11835000,Act,Technology,FALSE,,0,South
SFLG.MI,Safilo Group SpA,Italy,713831879.6,842339000,22296000,52751000,414878000,993219000,233120000,Act,Consumer Cyclicals,FALSE,,0,South
ENH.OL,Sed Energy Holdings PLC,Cyprus,429528301.6,386299148.3,4537798.2,6671471.3,113217968.5,34245018.6,5786706.9,Act,Energy,FALSE,,0,South
ESEA.OQ,Euroseas Ltd,Greece,411247399,571058390.6,92592709.01,110425649.2,220485147.8,205637514.6,26598134.15,Act,Industrials,FALSE,,0,South
SBLK.OQ,Star Bulk Carriers Corp,Greece,2390710011,3947032510,26703271.4,339830665.2,1549886038,1222305882,250323609.9,Act,Industrials,FALSE,,0,South
PIA.MI,Piaggio & C SpA,Italy,573188850.2,1891861000,22919442.19,141679000,1473697000,1701322000,-211706000,Act,Consumer Cyclicals,FALSE,Ba3,0,South
OPS.MI,Ops Italia SpA,Italy,1240704.717,3950000,-3018000,-2979000,1524000,1234000,1442000,Act,Utilities,FALSE,,0.01,South
SJLB.BEL,Gp 7. Juli ad Beograd,Republic of Serbia,,,,,,,,Act,Industrials,FALSE,,,South
ALBS.BEL,Albus ad Novi Sad,Republic of Serbia,931161.0288,9215672.642,431080.0945,334146.6478,4494051.197,6215202.81,-1112407.176,Act,Consumer Non-Cyclicals,FALSE,,0,South
AUTT.BEL,Autotransport A.d. Beograd,Republic of Serbia,266579.9745,,,,,,,Act,Industrials,FALSE,,,South
BABP.BEL,Grupa Univerexport Backa ad Backa Palanka,Republic of Serbia,3471233.274,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
BLAG.BEL,Blagoje Kostic Crni Marko ad Pirot,Republic of Serbia,302586.5854,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
BDSU.BEL,Buducnost ad Subotica,Republic of Serbia,,3455061.199,-306589.4711,-198332.9521,2050240.164,878766.7391,-88334.56593,Act,Consumer Cyclicals,FALSE,,,South
CNPR.BEL,Centroprom ad Beograd,Republic of Serbia,676693.6883,5382350.45,2545947.813,-191887.6947,33177.04373,0,590293.7424,Act,Consumer Non-Cyclicals,FALSE,,,South
CHMS.BEL,Chemos ad Palic,Republic of Serbia,,,,,,,,Act,Basic Materials,FALSE,,,South
DINN.BEL,Philip Morris Operations ad Nis,Republic of Serbia,553888837.3,288376594.2,24647512.06,60837136.02,136289869.6,268155033.6,96717492.5,Act,Consumer Non-Cyclicals,FALSE,,0,South
DINR.BEL,Dinara ad Beograd,Republic of Serbia,1099862.369,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
DNGR.BEL,Dinara Gradnja ad Beograd,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
DUGAM.BEL,Duga ad Beograd,Republic of Serbia,,,,,,,,Act,Basic Materials,FALSE,,,South
ELKR.BEL,Elektrometal ad Beograd,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
FHMS.BEL,Fabrika Hleba i Mleka ad Surdulica,Republic of Serbia,206217.3356,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
FOCA.BEL,Fabrika Opruga Cacak ad Cacak,Republic of Serbia,40033.0975,,,,,,,Act,Industrials,FALSE,,,South
GRDN.BEL,Sjaj u Tami ad Beograd,Republic of Serbia,5729506.311,4649988.961,762474.6983,119203.2725,597728.1923,0,2676052.269,Act,Consumer Non-Cyclicals,FALSE,,0,South
HIVR.BEL,Hemijska Industrija ad Vranje,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
HMLJ.BEL,Homolje ad Zagubica,Republic of Serbia,79035.53214,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
IMPL.BEL,Impol Seval ad Sevojno,Republic of Serbia,43970057.49,116434148.2,9932058.418,24209943.14,30581010.44,206352817.5,30452217.99,Act,Basic Materials,FALSE,,,South
INXB.BEL,Inex Bakar ad Majdanpek,Republic of Serbia,236589.0495,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
INSJ.BEL,Institut za Strane Jezike ad Beograd,Republic of Serbia,326550.4647,,,,,,,Act,Academic & Educational Services,FALSE,,,South
IZIT.BEL,Institut za Trzisna Istrazivanja ad Beograd,Republic of Serbia,82959.15246,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
INTS.BEL,Interservis ad Futog,Republic of Serbia,2076238.69,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
INIM.BEL,Invest Import ad Beograd,Republic of Serbia,2791789.404,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
IRMV.BEL,Irmovo ad Kisac,Republic of Serbia,2713913.471,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
JAAB.BEL,JAA Autorska Agencija za Srbiju ad Beograd,Republic of Serbia,206394.2705,1878108.456,60513.18564,-2550.626495,313341.8972,428197.1218,687333.9265,Act,Industrials,FALSE,,0,South
JMSE.BEL,Jedinstvo Metalogradnja ad Sevojno,Republic of Serbia,2310367.704,,,,,,,Act,Industrials,FALSE,,,South
JESV.BEL,Jedinstvo ad Sevojno,Republic of Serbia,15383436.88,88216286.58,1151455.178,2026301.076,44963538.89,97362092.66,10015866.83,Act,Industrials,FALSE,,0,South
JUFM.BEL,Jugoslavija Film ad Beograd,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
KOLT.BEL,Kolut ad Kolut,Republic of Serbia,468208.9881,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
KPNK.BEL,Kopaonik ad Blace,Republic of Serbia,220331.2919,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
KSNC.BEL,Kosanica ad Kursumlija,Republic of Serbia,,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
MIRC.BEL,Miroc ad Kladovo,Republic of Serbia,,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
NAPS.BEL,Napredak ad Svilajnac,Republic of Serbia,,396221.2308,-53744.56933,-83633.65514,160866.7005,26732.82184,-145525.7896,Act,Consumer Cyclicals,FALSE,,,South
PLSD.BEL,Palisad ad Zlatibor,Republic of Serbia,3612099.025,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
PANO.BEL,Panonija ad Pancevo,Republic of Serbia,298916.6189,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
PKMJ.BEL,Pekara 1 Maj ad Vrsac,Republic of Serbia,210497.8571,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
PPPO.BEL,PP Pobeda ad Pobeda,Republic of Serbia,2551980.261,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
PAPA.BEL,Ptk Panonija A.d. Panonija,Republic of Serbia,,20560754.24,149502.6611,4388515.509,11475482.58,9698252.259,3285780.389,Act,Consumer Non-Cyclicals,FALSE,,0,South
PUPO.BEL,Putevi ad Pozega,Republic of Serbia,6148931.66,,,,,,,Act,Industrials,FALSE,,,South
PTNK.BEL,Putnik ad Beograd,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
RKSV.BEL,Raketa ad Sevojno,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
RTAR.BEL,Ratar ad Pancevo,Republic of Serbia,992145.0254,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
RVST.BEL,Revnost ad Novi Sad,Republic of Serbia,426432.3316,,,,,,,Act,Industrials,FALSE,,,South
SAOD.BEL,Saobracaj ad Odzaci,Republic of Serbia,,,,,,,,Act,Industrials,FALSE,,,South
STIS.BEL,Srbija Tis ad Zajecar,Republic of Serbia,506293.0149,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
STIG.BEL,Stig GP ad Pozarevac,Republic of Serbia,,,,,,,,Act,Industrials,FALSE,,,South
STOTN.BEL,Stoteks ad Novi Sad,Republic of Serbia,620797.5822,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
SMRK.BEL,SU marketi Backa Topola ad,Republic of Serbia,,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
SVTS.BEL,Svetlost ad Beograd,Republic of Serbia,354370.0968,,,,,,,Act,Industrials,FALSE,,,South
THHM.BEL,Tehnohemija ad Beograd,Republic of Serbia,2181439.418,,,,,,,Act,Basic Materials,FALSE,,,South
THPT.BEL,Tehnopromet ad Beograd,Republic of Serbia,2324472.845,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
TRBG.BEL,Termika Beograd ad Beograd,Republic of Serbia,1816054.959,,,,,,,Act,Industrials,FALSE,,,South
TRVP.BEL,Trivit Pek ad Vrbas,Republic of Serbia,,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
VINZ.BEL,Vino Zupa ad Aleksandrovac,Republic of Serbia,844731.1924,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
VDAV.BEL,Voda Vrnjci ad Vrnjacka Banja,Republic of Serbia,4512334.524,14635276.4,92047.91224,161624.0738,2019382.75,9254466.52,3329517.417,Act,Consumer Non-Cyclicals,FALSE,,0,South
WKSL.BEL,Woksal ad Uzice,Republic of Serbia,930334.055,,,,,,,Act,Industrials,FALSE,,,South
ZLTR.BEL,Zlatar ad Nova Varos,Republic of Serbia,260954.3753,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
GAMQ.MC,General de Alquiler de Maquinaria SA,Spain,142682830.3,551228000,4397000,24452000,444024000,304038000,-40098000,Act,Industrials,FALSE,,0,South
TGAS.BEL,Messer Tehnogas Inc Belgrade,Republic of Serbia,300192423.7,279310887,26734891.19,33658582.77,23636839.64,182805214.9,81963656.47,Act,Basic Materials,FALSE,,0,South
TIGR.BEL,Tigar ad Pirot,Republic of Serbia,265292.1639,41756569.81,-10723791.03,-6174196.776,83142334.39,17482108.13,-47781330.73,Act,Consumer Cyclicals,FALSE,,0.02,South
DNVG.BEL,Dunav ad Grocka,Republic of Serbia,439231.4335,4751840.014,-300870.3495,-283531.8266,1903821.067,1369358.962,277894.6713,Act,Consumer Cyclicals,FALSE,,0,South
PLNM.BEL,Planum Co. Ltd,Republic of Serbia,1788118.148,15676476.06,3723.93892,-264356.9576,3023778.615,2147721.984,292961.2499,Act,Industrials,FALSE,,0,South
PRGS.BEL,Progres A.d. Beograd,Republic of Serbia,833823.4503,23556117.28,-1086749.579,-1109716.716,6517593.483,177399.5673,-4266233.254,Act,Energy,FALSE,,0,South
PUUE.BEL,Putevi ad Uzice,Republic of Serbia,10038569.68,66342236.63,3172104.127,5531672.113,52135341.32,76787671.77,10680222.66,Act,Industrials,FALSE,,0,South
RMBG.BEL,Ratko Mitrovic AD Beograd,Republic of Serbia,60614.22509,13781250.57,-5837772.221,-1494.406486,9974062.156,3759201.365,-820804.9475,Act,Industrials,FALSE,,,South
PLC.MI,PLC SpA,Italy,80378967.15,66945000,2984759.75,7726000,44031000,86464000,10794000,Act,Energy,FALSE,,0,South
TRE.MC,Tecnicas Reunidas SA,Spain,2409288098,4629235000,89942000,181208000,4229600000,4451446000,503936000,Act,Industrials,FALSE,,0,South
AGEX.BEL,Agrovojvodina Export Import ad Novi Sad,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
VALS.MI,Valsoia SpA,Italy,110932643.4,127779956,4174185.24,11337275,37318522,116751178,13541578,Act,Consumer Non-Cyclicals,FALSE,,0,South
MGAL.BEL,Megal ad Bujanovac,Republic of Serbia,2383357.154,,,,,,,Act,Industrials,FALSE,,,South
BOIN.BEL,Borinzenjering ad Bor,Republic of Serbia,110458.3316,,,,,,,Act,Industrials,FALSE,,,South
EUKE.MI,Eukedos SpA,Italy,15218182.01,182787000,-524000,5063000,152947000,50471000,-18142000,Act,Healthcare,FALSE,,0.01,South
ZLGB.BEL,Zlatibor Gradnja A.d. Beograd,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
ELC.MI,Elica SpA,Italy,73364256.31,400914000,7868000,5494000,261333000,452092000,-8910000,Act,Consumer Cyclicals,FALSE,,0,South
POPI.BEL,Ponisavlje ad Pirot,Republic of Serbia,160005.3825,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
PDBP.BEL,Podunavlje ad Backa Palanka,Republic of Serbia,,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
ASTH.WA,Astarta Holding PLC,Cyprus,271408592,748222000,71011800,103887000,198759000,612145000,288663000,Act,Consumer Non-Cyclicals,FALSE,,0,South
NPSC.BEL,Nova Pescara ad Deliblato,Republic of Serbia,1300462.755,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
INGR.ZA,Ingra dd,Croatia,25838235.29,104827000,2935000,5119000,45048000,11043000,5371000,Act,Industrials,FALSE,,0,South
ASBP.WA,ASBISc Enterprises PLC,Cyprus,1224490506,1159863345,25780836.9,91094029,871720886.4,2905913048,229283410.2,Act,Technology,FALSE,,0,South
SFTO.BEL,Sistem FTO 011 ad Beograd,Republic of Serbia,,,,,,,,Act,Industrials,FALSE,,,South
RAPD.BEL,Rapid A.d. Beograd,Republic of Serbia,1181715.889,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
RENE.LS,REN Redes Energeticas Nacionais SGPS SA,Portugal,2535545633,5356370000,22688257.51,235045000,3804479000,1019892000,-855828000,Act,Utilities,FALSE,(P)Baa1,0,South
DAC.N,Danaos Corp,Greece,1967315371,4195535399,427182797.6,514391976.8,887521078.6,979528849,484894356.7,Act,Industrials,FALSE,Ba1,0,South
TLSG.LJ,Telekom Slovenije dd,Slovenia,926898376.6,1338533000,55188000,71503000,665586000,712442000,25707000,Act,Technology,FALSE,WR,0,South
GALP.LS,Galp Energia SGPS SA,Portugal,12450094779,16817000000,621000000,2690000000,11179000000,21933000000,3146000000,Act,Energy,FALSE,,0,South
FSIL.BEL,Fasil ad Arilje,Republic of Serbia,521552.4683,,,,,,,Act,Industrials,FALSE,,,South
SJPR.BEL,Lucic Prigrevica ad Novi Sad,Republic of Serbia,3363104.105,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
VOC.MC,Vocento SA,Spain,101072016.1,355727000,-102667955.8,-33355000,194159000,341996000,6190000,Act,Consumer Cyclicals,FALSE,,0,South
KOPB.BEL,Kopaonik ad Beograd,Republic of Serbia,18928383.29,31703277.36,930268.2614,-185699.3035,7202113.308,34261067.86,8438277.007,Act,Basic Materials,FALSE,,0,South
NWRN.S,Newron Pharmaceuticals SpA,Italy,285366308.4,63908000,15843000,26173000,62450000,51390000,37598000,Act,Healthcare,FALSE,,0,South
MDSP.ZA,Modra Spilja dd,Croatia,12111560.43,8218467,-341641,-392452,563273,1765322,2446590,Act,Consumer Cyclicals,FALSE,,0,South
KEFI.L,KEFI Gold and Copper Plc,Cyprus,167255297.9,55021134.62,1457369.448,-7174463.03,7799222.57,0,-7094706.493,Act,Basic Materials,FALSE,,0,South
ASCI.MI,Ascopiave SpA,Italy,700030014.6,1452320000,3323000,50020000,594531000,201349000,136365000,Act,Utilities,FALSE,,0,South
GSP.MI,Gas Plus SpA,Italy,247596714.9,518828000,3833000,21385000,287736000,135327000,-14120000,Act,Energy,FALSE,,0,South
INAI.ZA,INA dd,Croatia,5293492349,3341782000,-58171000,244867000,1757094000,3876291000,-56586000,Act,Energy,FALSE,,0,South
TRTN.BEL,Taratrans ad Bajina Basta,Republic of Serbia,,,,,,,,Act,Industrials,FALSE,,,South
PBLJ.BEL,Pobeda ad Ljig,Republic of Serbia,495668.2324,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
TMKZ.BEL,Timok ad Zajecar,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
GFOM.BEL,Gosa FOM ad Smederevska Palanka,Republic of Serbia,17512448.29,,,,,,,Act,Industrials,FALSE,,,South
INMT.BEL,Institut IMS ad Beograd,Republic of Serbia,2464795.91,,,,,,,Act,Industrials,FALSE,,,South
ELAN.BEL,Elan ad Prijepolje,Republic of Serbia,1213362.031,,,,,,,Act,Basic Materials,FALSE,,,South
ALISP.PA,ISPD Network SA,Spain,27812468.17,78622279,-472798,1296867,73815312,156089185,-3180527,Act,Consumer Cyclicals,FALSE,,0,South
GLBG.BEL,Galeb Gte A.d. Beograd,Republic of Serbia,79983.7841,,,,,,,Act,Technology,FALSE,,,South
MDS.MT,Medservregis PLC,Malta,70043857.77,145748491,327439.2212,5873339,88139580,70007335,24446494,Act,Industrials,FALSE,,0,South
LIND.BEL,Linde Gas Srbija ad Becej,Republic of Serbia,,,,,,,,Act,Basic Materials,FALSE,,,South
CBAV.MC,Clinica Baviera SA,Spain,899073124.1,211694206,15119658,55647792,113333954,262648149,-2717309,Act,Healthcare,FALSE,,0,South
SLVA.BEL,Sloga ad Valjevo,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
DDJH.ZA,Djuro Djakovic Grupa dd,Croatia,4968959.319,122919019,6708358,7875331,70414079,133754367,10771385,Act,Consumer Non-Cyclicals,FALSE,,0,South
DMNR.BEL,Dimnicar ad Beograd,Republic of Serbia,306796.8328,,,,,,,Act,Industrials,FALSE,,,South
SLPZE.BEL,Sloga ad Banatski Karlovac,Republic of Serbia,,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
TRVM.BEL,Trivit Mlin ad Vrbas,Republic of Serbia,,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
IMKM.BEL,Imtel-communication ad,Republic of Serbia,269231.7846,,,,,,,Act,Technology,FALSE,,,South
NSSJ.BEL,Novosadski Sajam ad Novi Sad,Republic of Serbia,4531254.95,57150846.46,-268943.5521,-697478.3856,5475385.972,4191660.523,23812.71034,Act,Industrials,FALSE,,0,South
JHRT.BEL,Juhortrans ad Jagodina,Republic of Serbia,40643.3841,,,,,,,Act,Industrials,FALSE,,,South
USBT.BEL,Usluga ad Backa Topola,Republic of Serbia,1336456.148,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
GLFS.BEL,Galeb FSU ad Beograd,Republic of Serbia,,,,,,,,Act,Industrials,FALSE,,,South
CSLE.BEL,Crveni Signal ad Leskovac,Republic of Serbia,,,,,,,,Act,Academic & Educational Services,FALSE,,,South
CCEC.OQ,Capital Clean Energy Carriers Corp,Greece,1093688088,3972632724,-25459192.2,171628839.2,2675458967,327970379.1,156526026.8,Act,Industrials,FALSE,WR,0,South
ZPBG.BEL,Zastava Promet A.d. Beograd,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
BCKA.BEL,Backa ad Sivac,Republic of Serbia,5939324.304,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
BDPR.BEL,Buducnost ad Presevo,Republic of Serbia,,,,,,,,Act,Basic Materials,FALSE,,,South
DJRS.BEL,Djuro Salaj A.d. Beograd,Republic of Serbia,924847.947,,,,,,,Act,Academic & Educational Services,FALSE,,,South
MRZB.BEL,Morava ad Zabari,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
METC.BEL,Metalac ad Aleksandrovac,Republic of Serbia,,,,,,,,Act,Industrials,FALSE,,,South
PLTK.BEL,Politika ad Beograd,Republic of Serbia,838580.8152,27854636.06,-4855136.614,-2892210.828,56478145.94,5197132.573,-52334666.01,Act,Consumer Cyclicals,FALSE,,0.01,South
MING.BEL,Ming Kovacnica ad Nis,Republic of Serbia,960621.7098,,,,,,,Act,Basic Materials,FALSE,,,South
SVRL.BEL,Min Div ad Svrljig,Republic of Serbia,4853149.422,,,,,,,Act,Industrials,FALSE,,,South
DJKC.BEL,Djokic NTK ad Knjazevac,Republic of Serbia,1072916.181,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
PSOB.BEL,Poslovni Objekti A.d. Beograd,Republic of Serbia,26798.9342,,,,,,,Act,Industrials,FALSE,,,South
AGBC.BEL,Agrobacka ad Backa Topola,Republic of Serbia,90433.48052,1902236.698,-249268.1054,-258092.5884,83374.67346,246255.2849,156392.7763,Act,Consumer Non-Cyclicals,FALSE,,0,South
PRY.MI,Prysmian SpA,Italy,43117390023,18157000000,538000000,1269000000,12860000000,17026000000,975000000,Act,Industrials,FALSE,,0,South
JIBG.BEL,Jugoinspekt ad Beograd,Republic of Serbia,,8335858.226,-660603.7031,-632923.4143,1729050.871,4198468.158,86387.49402,Act,Industrials,FALSE,,0,South
AKLE.BEL,Auto Kuca Leskovac ad Leskovac,Republic of Serbia,840921.4918,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
CGLT.BEL,Ciglana ad Titel,Republic of Serbia,,,,,,,,Act,Basic Materials,FALSE,,,South
ZLTP.BEL,Zlatarplast ad Nova Varos,Republic of Serbia,2434190.213,,,,,,,Act,Basic Materials,FALSE,,,South
COKA.BEL,Duvanska Industrija Coka ad Coka,Republic of Serbia,3003907.896,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
MIPU.CY,Mitsides PCL,Cyprus,6142448.669,35178618,1898593,2818872,21668139,39095232,-1288392,Act,Consumer Non-Cyclicals,FALSE,,0,South
ERME.CY,Ermes Department Stores PLC,Cyprus,2359599.184,178256836,,465708,173503722,43616179,-33524229,Act,Consumer Cyclicals,FALSE,,0.01,South
TRAY.BEL,Trayal Korporacija Ad Krusevac,Republic of Serbia,215251952.2,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
ZV.MI,Zignago Vetro SpA,Italy,631609091.5,755493000,12158314.15,40299000,384805000,454519000,136366000,Act,Basic Materials,FALSE,,0,South
SLBEN.LS,Sport Lisboa e Benfica Futebol SAD,Portugal,162180620.3,565225000,-31360000,-11080000,483357000,179044000,-109008000,Act,Consumer Cyclicals,FALSE,,0,South
TLVC.BEL,Termovent SC Livnica Celika ad Backa Topola,Republic of Serbia,1238038.581,,,,,,,Act,Basic Materials,FALSE,,,South
BGMN.BEL,Beogradmontaza A.d. Beograd,Republic of Serbia,613241.5453,,,,,,,Act,Industrials,FALSE,,,South
BLCN.BEL,Blacanka ad Prokuplje,Republic of Serbia,147012.0992,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
GLBS.OQ,Globus Maritime Ltd,Greece,54415347.6,310040377.4,416302.9,1454645.4,139654651.5,33680933,17833411.7,Act,Industrials,FALSE,,0,South
IRTL.BEL,Iritel ad Beograd,Republic of Serbia,2621450.336,14902429.02,349928.9738,648672.249,6342663.448,11559713.17,3242402.62,Act,Technology,FALSE,,0,South
FRMC.BEL,Farmacoop ad Kac,Republic of Serbia,,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
PRLI.BEL,Proleter ad Ivanjica,Republic of Serbia,107312.5011,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
BGZP.BEL,Bigz Publishing ad Beograd,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
SLRS.MC,Solaria Energia y Medio Ambiente SA,Spain,2848219016,1968642000,88614000,128670000,1350806000,176906000,-131504000,Act,Utilities,FALSE,,0,South
ALM.MC,Almirall SA,Spain,2453512024,2396663000,10147000,49609000,908281000,985721000,387720000,Act,Healthcare,FALSE,Ba1,0,South
LR.MI,Landi Renzo SpA,Italy,20922188.67,,,,,,,Act,Consumer Cyclicals,FALSE,,0.01,South
SAVR.BEL,Savremena ad Beograd,Republic of Serbia,633943.8258,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
BASB.BEL,BAS ad Beograd,Republic of Serbia,4015194.726,,,,,,,Act,Industrials,FALSE,,,South
INFM.BEL,Informatika A.d. Beograd,Republic of Serbia,8048795.282,36449565.31,707132.7024,918362.4847,24049489.18,62960905.49,5378415.364,Act,Technology,FALSE,,0,South
MLAL.BEL,Mladost ad Aleksandrovac,Republic of Serbia,,,,,,,,Act,Industrials,FALSE,,,South
AGNr.AT,Aegean Airlines SA,Greece,1162627963,2874408610,62834898.39,227130410,2375053190,1777314050,134072610,Act,Industrials,FALSE,NR,0,South
MARTI.LS,Martifer SGPS SA,Portugal,239705313.9,346692950,22997919,34127953,262717643,264523796,72272573,Act,Industrials,FALSE,,0,South
NOVT.BEL,Novitet ad Novi Sad,Republic of Serbia,,1835338.97,-2761402.973,-32663.6947,2445035.871,44127.31383,-2067947.147,Act,Consumer Cyclicals,FALSE,,,South
ZTPK.BEL,Zitopek ad Nis,Republic of Serbia,32724951.12,5530614.157,455646.3137,505717.3372,3154936.673,12556896.86,130638.296,Act,Consumer Non-Cyclicals,FALSE,,0,South
APJP.BEL,Autoprevoz Janjusevic ad Priboj,Republic of Serbia,,,,,,,,Act,Industrials,FALSE,,,South
NOLT.BEL,Nolit A.d. Beograd,Republic of Serbia,,,,,,,,Act,Consumer Cyclicals,FALSE,,,South
DIAS.MI,DiaSorin SpA,Italy,3818809161,3304920000,126828000,265045000,1505898000,1185427000,691882000,Act,Healthcare,FALSE,,0,South
AEF.MI,Aeffe SpA,Italy,18336445.94,464128334,-32143947,-21922704,384888026,318622270,16645450,Act,Consumer Cyclicals,FALSE,,0.03,South
INBU.BEL,Inex Buducnost ad Pozega,Republic of Serbia,,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,South
37B.MI,B&C Speakers SpA,Italy,120851429.1,87264261,10116943,19046562,32069034,100368870,49076611,Act,Technology,FALSE,,0,South
HDRT.BEL,Hidrotehnika Hidroenergetika ad Beograd,Republic of Serbia,,,,,,,,Act,Industrials,FALSE,,,South
APOS.BEL,Apos ad Apatin,Republic of Serbia,,,,,,,,Act,Industrials,FALSE,,,South
TYA.MI,Toscana Aeroporti SpA,Italy,347616415.6,296148000,10097039.59,30710000,182323000,128220000,-10706000,Act,Industrials,FALSE,,0,South
ALK.MKE,Alkaloid AD Skopje,Macedonia,553859123,351927082.8,15133457.64,35163054.35,111076385.6,311515387.2,74923353.42,Act,Healthcare,FALSE,,0,South
DIMI.MKE,Dimko Mitrev AD Veles,Macedonia,120446.017,6475021.205,2114.391651,130993.9386,4146994.044,4712995.381,713058.096,Act,Consumer Cyclicals,FALSE,,0,South
FERS.MKE,Fersped AD Skopje,Macedonia,15042183.42,46283082.59,2103325.351,2401408.025,4722124.964,80783070.27,6929976.004,Act,Industrials,FALSE,,0,South
GRNT.MKE,Granit AD Skopje,Macedonia,75119619.11,151062711.5,-1304284.617,-1457356.739,21817128.98,58166422.6,34642635.36,Act,Industrials,FALSE,,0,South
INHO.MKE,Internesnel Hotels AD Skopje,Macedonia,,3719591.899,23815.58968,86870.35466,1270847.726,1337328.133,-607322.1229,Act,Consumer Cyclicals,FALSE,,0,South
KOMU.MKE,DS Smith AD Skopje,Macedonia,2183149.126,17213229.65,85132.94756,505372.3859,10939305.12,18186784.08,2145206.041,Act,Basic Materials,FALSE,,0,South
KPSS.MKE,Fabrika Karpos AD Skopje,Macedonia,1610222.923,36730425.01,784029.5367,1044755.335,27696662.1,19267877.44,-398997.178,Act,Industrials,FALSE,,0,South
